Num; xash;
0; 0;
1; 2;
2; 2;
3; 0;
4; 1;
5; 3;
6; 5;
7; 0;
8; 2;
9; 1;
10; 2;
11; 3;
12; 1;
13; 3;
14; 2;
15; 3;
16; 3;
17; 7;
18; 0;
19; 1;
20; 1;
21; 0;
22; 3;
23; 2;
24; 7;
25; 1;
26; 2;
27; 2;
28; 0;
29; 1;
30; 3;
31; 1;
32; 2;
33; 2;
34; 0;
35; 1;
36; 3;
37; 0;
38; 1;
39; 1;
40; 1;
41; 2;
42; 3;
43; 2;
44; 1;
45; 1;
46; 0;
47; 3;
48; 9;
49; 1;
50; 4;
51; 4;
52; 2;
53; 4;
54; 2;
55; 2;
56; 0;
57; 2;
58; 3;
59; 2;
60; 2;
61; 1;
62; 2;
63; 2;
64; 4;
65; 1;
66; 3;
67; 3;
68; 2;
69; 5;
70; 3;
71; 2;
72; 1;
73; 0;
74; 3;
75; 2;
76; 0;
77; 3;
78; 2;
79; 4;
80; 1;
81; 2;
82; 1;
83; 5;
84; 1;
85; 1;
86; 6;
87; 2;
88; 2;
89; 2;
90; 2;
91; 3;
92; 1;
93; 2;
94; 3;
95; 5;
96; 1;
97; 2;
98; 1;
99; 1;
100; 1;
101; 4;
102; 2;
103; 5;
104; 3;
105; 3;
106; 0;
107; 2;
108; 1;
109; 4;
110; 3;
111; 1;
112; 4;
113; 1;
114; 2;
115; 2;
116; 1;
117; 2;
118; 3;
119; 0;
120; 4;
121; 4;
122; 3;
123; 4;
124; 2;
125; 2;
126; 0;
127; 3;
128; 0;
129; 2;
130; 2;
131; 3;
132; 0;
133; 1;
134; 1;
135; 2;
136; 2;
137; 1;
138; 2;
139; 2;
140; 4;
141; 4;
142; 2;
143; 4;
144; 1;
145; 2;
146; 1;
147; 2;
148; 2;
149; 1;
150; 3;
151; 1;
152; 2;
153; 1;
154; 4;
155; 7;
156; 1;
157; 1;
158; 1;
159; 1;
160; 2;
161; 3;
162; 1;
163; 1;
164; 7;
165; 2;
166; 3;
167; 8;
168; 2;
169; 2;
170; 3;
171; 3;
172; 6;
173; 3;
174; 3;
175; 5;
176; 4;
177; 2;
178; 2;
179; 2;
180; 2;
181; 3;
182; 3;
183; 2;
184; 4;
185; 1;
186; 5;
187; 2;
188; 6;
189; 2;
190; 4;
191; 4;
192; 2;
193; 4;
194; 2;
195; 0;
196; 0;
197; 1;
198; 4;
199; 2;
200; 3;
201; 2;
202; 1;
203; 2;
204; 4;
205; 4;
206; 4;
207; 1;
208; 1;
209; 1;
210; 0;
211; 2;
212; 3;
213; 1;
214; 2;
215; 1;
216; 3;
217; 1;
218; 1;
219; 3;
220; 2;
221; 3;
222; 1;
223; 2;
224; 3;
225; 4;
226; 4;
227; 1;
228; 5;
229; 5;
230; 0;
231; 4;
232; 2;
233; 1;
234; 5;
235; 2;
236; 5;
237; 1;
238; 1;
239; 2;
240; 5;
241; 5;
242; 2;
243; 2;
244; 1;
245; 2;
246; 2;
247; 0;
248; 0;
249; 1;
250; 3;
251; 1;
252; 2;
253; 3;
254; 3;
255; 1;
256; 2;
257; 1;
258; 1;
259; 1;
260; 3;
261; 1;
262; 2;
263; 0;
264; 5;
265; 2;
266; 2;
267; 3;
268; 2;
269; 4;
270; 1;
271; 3;
272; 3;
273; 2;
274; 0;
275; 4;
276; 1;
277; 0;
278; 0;
279; 1;
280; 6;
281; 1;
282; 3;
283; 0;
284; 2;
285; 5;
286; 3;
287; 2;
288; 2;
289; 1;
290; 5;
291; 3;
292; 3;
293; 3;
294; 3;
295; 6;
296; 2;
297; 2;
298; 1;
299; 3;
300; 2;
301; 2;
302; 1;
303; 2;
304; 1;
305; 2;
306; 1;
307; 3;
308; 5;
309; 5;
310; 5;
311; 4;
312; 3;
313; 4;
314; 5;
315; 2;
316; 2;
317; 3;
318; 2;
319; 4;
320; 5;
321; 0;
322; 2;
323; 6;
324; 2;
325; 2;
326; 3;
327; 0;
328; 2;
329; 2;
330; 1;
331; 0;
332; 1;
333; 1;
334; 0;
335; 8;
336; 5;
337; 1;
338; 2;
339; 0;
340; 1;
341; 3;
342; 1;
343; 2;
344; 3;
345; 3;
346; 0;
347; 1;
348; 3;
349; 3;
350; 1;
351; 0;
352; 2;
353; 2;
354; 4;
355; 3;
356; 4;
357; 3;
358; 1;
359; 5;
360; 5;
361; 4;
362; 3;
363; 1;
364; 2;
365; 1;
366; 1;
367; 0;
368; 0;
369; 3;
370; 4;
371; 3;
372; 5;
373; 2;
374; 5;
375; 2;
376; 2;
377; 3;
378; 4;
379; 5;
380; 2;
381; 3;
382; 1;
383; 1;
384; 3;
385; 5;
386; 6;
387; 1;
388; 4;
389; 1;
390; 5;
391; 0;
392; 3;
393; 2;
394; 0;
395; 2;
396; 2;
397; 2;
398; 2;
399; 1;
400; 4;
401; 3;
402; 4;
403; 2;
404; 0;
405; 0;
406; 2;
407; 2;
408; 2;
409; 3;
410; 1;
411; 0;
412; 4;
413; 4;
414; 0;
415; 2;
416; 3;
417; 3;
418; 3;
419; 2;
420; 4;
421; 2;
422; 3;
423; 2;
424; 1;
425; 3;
426; 2;
427; 4;
428; 3;
429; 2;
430; 3;
431; 2;
432; 4;
433; 2;
434; 0;
435; 3;
436; 2;
437; 3;
438; 2;
439; 3;
440; 4;
441; 3;
442; 3;
443; 1;
444; 2;
445; 2;
446; 2;
447; 1;
448; 2;
449; 3;
450; 4;
451; 4;
452; 3;
453; 0;
454; 3;
455; 1;
456; 3;
457; 0;
458; 4;
459; 2;
460; 2;
461; 2;
462; 5;
463; 1;
464; 3;
465; 1;
466; 4;
467; 5;
468; 1;
469; 2;
470; 2;
471; 2;
472; 1;
473; 0;
474; 1;
475; 5;
476; 1;
477; 1;
478; 1;
479; 0;
480; 3;
481; 3;
482; 1;
483; 3;
484; 3;
485; 4;
486; 3;
487; 0;
488; 3;
489; 3;
490; 2;
491; 5;
492; 1;
493; 2;
494; 2;
495; 3;
496; 1;
497; 2;
498; 0;
499; 5;
500; 2;
501; 0;
502; 3;
503; 4;
504; 3;
505; 1;
506; 4;
507; 1;
508; 2;
509; 3;
510; 4;
511; 1;
512; 1;
513; 1;
514; 0;
515; 2;
516; 1;
517; 3;
518; 0;
519; 3;
520; 2;
521; 4;
522; 3;
523; 6;
524; 2;
525; 4;
526; 2;
527; 2;
528; 4;
529; 2;
530; 3;
531; 0;
532; 0;
533; 2;
534; 2;
535; 2;
536; 6;
537; 1;
538; 3;
539; 3;
540; 1;
541; 0;
542; 3;
543; 3;
544; 2;
545; 2;
546; 1;
547; 2;
548; 5;
549; 2;
550; 0;
551; 2;
552; 4;
553; 0;
554; 4;
555; 3;
556; 3;
557; 2;
558; 3;
559; 0;
560; 5;
561; 3;
562; 2;
563; 2;
564; 3;
565; 4;
566; 2;
567; 4;
568; 0;
569; 0;
570; 2;
571; 4;
572; 1;
573; 6;
574; 2;
575; 3;
576; 4;
577; 3;
578; 2;
579; 0;
580; 2;
581; 2;
582; 3;
583; 1;
584; 3;
585; 3;
586; 4;
587; 1;
588; 1;
589; 2;
590; 4;
591; 1;
592; 3;
593; 1;
594; 5;
595; 4;
596; 2;
597; 0;
598; 1;
599; 3;
600; 1;
601; 3;
602; 5;
603; 3;
604; 5;
605; 2;
606; 5;
607; 2;
608; 3;
609; 5;
610; 1;
611; 4;
612; 3;
613; 1;
614; 4;
615; 2;
616; 1;
617; 2;
618; 2;
619; 3;
620; 3;
621; 4;
622; 2;
623; 3;
624; 4;
625; 0;
626; 3;
627; 3;
628; 2;
629; 2;
630; 0;
631; 0;
632; 4;
633; 5;
634; 3;
635; 0;
636; 3;
637; 3;
638; 4;
639; 4;
640; 0;
641; 7;
642; 1;
643; 1;
644; 1;
645; 2;
646; 4;
647; 1;
648; 1;
649; 1;
650; 5;
651; 2;
652; 2;
653; 2;
654; 3;
655; 5;
656; 4;
657; 3;
658; 3;
659; 1;
660; 1;
661; 2;
662; 3;
663; 3;
664; 2;
665; 3;
666; 6;
667; 2;
668; 3;
669; 5;
670; 1;
671; 2;
672; 3;
673; 2;
674; 2;
675; 4;
676; 1;
677; 2;
678; 1;
679; 1;
680; 3;
681; 3;
682; 3;
683; 6;
684; 7;
685; 1;
686; 1;
687; 3;
688; 4;
689; 2;
690; 1;
691; 2;
692; 3;
693; 3;
694; 4;
695; 3;
696; 2;
697; 0;
698; 3;
699; 3;
700; 4;
701; 3;
702; 3;
703; 2;
704; 4;
705; 1;
706; 2;
707; 5;
708; 5;
709; 0;
710; 1;
711; 1;
712; 3;
713; 3;
714; 2;
715; 6;
716; 3;
717; 3;
718; 3;
719; 1;
720; 2;
721; 1;
722; 1;
723; 2;
724; 2;
725; 1;
726; 2;
727; 2;
728; 4;
729; 3;
730; 2;
731; 2;
732; 1;
733; 5;
734; 3;
735; 0;
736; 2;
737; 3;
738; 1;
739; 7;
740; 1;
741; 1;
742; 2;
743; 3;
744; 1;
745; 3;
746; 5;
747; 5;
748; 3;
749; 3;
750; 3;
751; 3;
752; 3;
753; 2;
754; 4;
755; 1;
756; 4;
757; 1;
758; 2;
759; 2;
760; 1;
761; 1;
762; 0;
763; 4;
764; 1;
765; 1;
766; 4;
767; 6;
768; 4;
769; 1;
770; 3;
771; 3;
772; 3;
773; 5;
774; 2;
775; 4;
776; 1;
777; 2;
778; 7;
779; 2;
780; 3;
781; 2;
782; 4;
783; 4;
784; 1;
785; 2;
786; 2;
787; 3;
788; 5;
789; 0;
790; 5;
791; 1;
792; 1;
793; 5;
794; 0;
795; 3;
796; 1;
797; 6;
798; 1;
799; 2;
800; 1;
801; 0;
802; 6;
803; 4;
804; 7;
805; 1;
806; 1;
807; 5;
808; 5;
809; 1;
810; 4;
811; 3;
812; 2;
813; 3;
814; 3;
815; 3;
816; 3;
817; 2;
818; 3;
819; 3;
820; 4;
821; 2;
822; 2;
823; 6;
824; 6;
825; 1;
826; 1;
827; 2;
828; 4;
829; 2;
830; 4;
831; 5;
832; 1;
833; 1;
834; 2;
835; 4;
836; 1;
837; 2;
838; 3;
839; 1;
840; 1;
841; 2;
842; 2;
843; 3;
844; 4;
845; 1;
846; 2;
847; 2;
848; 2;
849; 5;
850; 4;
851; 2;
852; 2;
853; 3;
854; 2;
855; 2;
856; 2;
857; 1;
858; 2;
859; 0;
860; 1;
861; 1;
