Num; xash;
0; 8;
1; 8;
2; 5;
3; 5;
4; 9;
5; 3;
6; 7;
7; 4;
8; 5;
9; 4;
10; 9;
11; 3;
12; 7;
13; 4;
14; 7;
15; 5;
16; 6;
17; 7;
18; 3;
19; 3;
20; 5;
21; 5;
22; 5;
23; 6;
24; 6;
25; 5;
26; 4;
27; 1;
28; 2;
29; 5;
30; 3;
31; 1;
32; 3;
33; 4;
34; 3;
35; 3;
36; 4;
37; 0;
38; 4;
39; 2;
40; 4;
41; 2;
42; 1;
43; 2;
44; 3;
45; 3;
46; 6;
47; 1;
48; 5;
49; 2;
50; 6;
51; 8;
52; 6;
53; 3;
54; 3;
55; 3;
56; 0;
57; 3;
58; 3;
59; 5;
60; 5;
61; 2;
62; 3;
63; 5;
64; 7;
65; 5;
66; 8;
67; 6;
68; 7;
69; 8;
70; 6;
71; 4;
72; 5;
73; 3;
74; 4;
75; 14;
76; 6;
77; 5;
78; 7;
79; 4;
80; 6;
81; 2;
82; 5;
83; 4;
84; 7;
85; 5;
86; 4;
87; 4;
88; 2;
89; 7;
90; 9;
91; 2;
92; 6;
93; 2;
94; 5;
95; 4;
96; 5;
97; 5;
98; 5;
99; 8;
100; 12;
101; 5;
102; 6;
103; 4;
104; 5;
105; 3;
106; 5;
107; 6;
108; 3;
109; 4;
110; 9;
111; 1;
112; 3;
113; 8;
114; 5;
115; 4;
116; 2;
117; 3;
118; 6;
119; 3;
120; 4;
121; 2;
122; 4;
123; 7;
124; 2;
125; 5;
126; 5;
127; 7;
128; 5;
129; 4;
130; 3;
131; 6;
132; 7;
133; 3;
134; 9;
135; 3;
136; 4;
137; 4;
138; 7;
139; 6;
140; 3;
141; 2;
142; 1;
143; 4;
144; 3;
145; 2;
146; 3;
147; 4;
148; 3;
149; 11;
150; 7;
151; 1;
152; 2;
153; 3;
154; 7;
155; 7;
156; 3;
157; 4;
158; 3;
159; 5;
160; 1;
161; 3;
162; 6;
163; 1;
164; 4;
165; 3;
166; 1;
167; 4;
168; 1;
169; 0;
170; 4;
171; 0;
172; 2;
173; 3;
174; 0;
175; 3;
176; 1;
177; 1;
178; 1;
179; 5;
180; 1;
181; 1;
182; 2;
183; 2;
184; 6;
185; 2;
186; 3;
187; 3;
188; 4;
189; 8;
190; 5;
191; 9;
192; 3;
193; 4;
194; 1;
195; 1;
196; 1;
197; 10;
198; 4;
199; 7;
200; 1;
201; 1;
202; 3;
203; 2;
204; 3;
205; 2;
206; 4;
207; 1;
208; 3;
209; 4;
210; 2;
211; 1;
212; 3;
213; 1;
214; 3;
215; 1;
216; 4;
217; 10;
218; 2;
219; 5;
220; 3;
221; 6;
222; 3;
223; 4;
224; 9;
225; 3;
226; 2;
